Period,Value1 book,Value2 sgs,Value sg,Value htg
Jan-92,790,972,3023,620
Feb-92,539,1100,2806,585
Mar-92,535,1214,3040,643
Apr-92,523,1267,3150,706
May-92,552,1293,3175,660
Jun-92,589,1334,3240,721
Jul-92,592,1340,3224,678
Aug-92,894,1377,3586,653
Sep-92,861,1206,3409,638
Oct-92,645,1120,3329,789
Nov-92,642,1207,3851,1332
Dec-92,1165,2153,7133,3226
Jan-93,998,1032,3254,598
Feb-93,568,984,2735,576
Mar-93,602,1213,3211,683
Apr-93,583,1367,3374,735
May-93,612,1387,3315,685
Jun-93,618,1457,3424,722
Jul-93,607,1457,3440,745
Aug-93,983,1531,3880,682
Sep-93,903,1313,3611,671
Oct-93,669,1199,3496,799
Nov-93,692,1377,4260,1480
Dec-93,1273,2474,7573,3275
Jan-94,1053,1168,3499,618
Feb-94,635,1193,3116,637
Mar-94,634,1488,3718,819
Apr-94,610,1551,3640,782
May-94,684,1551,3641,742
Jun-94,724,1677,3796,758
Jul-94,678,1584,3688,778
Aug-94,1154,1737,4423,801
Sep-94,1022,1470,4104,806
Oct-94,732,1324,3904,987
Nov-94,772,1471,4630,1677
Dec-94,1409,2611,7986,3445
Jan-95,1308,1224,3908,683
Feb-95,718,1248,3271,665
Mar-95,695,1599,3908,823
Apr-95,688,1606,3845,867
May-95,785,1645,3951,821
Jun-95,808,1750,4129,873
Jul-95,782,1705,3893,851
Aug-95,1248,1846,4649,846
Sep-95,1102,1569,4294,846
Oct-95,746,1398,3955,993
Nov-95,850,1548,4904,1830
Dec-95,1466,2731,8326,3616
Jan-96,1373,1327,4140,705
Feb-96,757,1309,3521,737
Mar-96,743,1649,4102,890
Apr-96,750,1702,4096,862
May-96,853,1773,4042,669
Jun-96,838,1895,4286,849
Jul-96,786,1833,4166,877
Aug-96,1359,1992,4989,874
Sep-96,1040,1594,4334,870
Oct-96,899,1453,4340,1094
Nov-96,908,1608,5208,2002
Dec-96,1599,2675,8847,4073
Jan-97,1558,1337,4311,730
Feb-97,825,1331,3588,791
Mar-97,813,1609,4209,1032
Apr-97,806,1726,4177,896
May-97,894,1788,4372,947
Jun-97,875,1970,4456,940
Jul-97,830,1838,4298,963
Aug-97,1301,1955,4949,958
Sep-97,1158,1595,4547,971
Oct-97,923,1521,4463,1141
Nov-97,994,1651,5411,2009
Dec-97,1765,2846,8911,3643
Jan-98,1463,1381,4413,858
Feb-98,921,1407,3896,883
Mar-98,882,1754,4422,987
Apr-98,854,1820,4452,1022
May-98,919,1938,4557,986
Jun-98,939,2120,4783,1016
Jul-98,881,1975,4584,1042
Aug-98,1385,2038,5158,1025
Sep-98,1246,1701,4800,1005
Oct-98,953,1607,4669,1197
Nov-98,990,1685,5424,2011
Dec-98,1849,2858,9283,3801
Jan-99,1514,1485,4661,933
Feb-99,990,1469,4133,966
Mar-99,976,1827,4804,1135
Apr-99,933,1888,4654,1076
May-99,976,1993,4779,1061
Jun-99,1031,2215,5088,1101
Jul-99,1023,2062,4884,1083
Aug-99,1386,2143,5396,1101
Sep-99,1240,1847,5062,1111
Oct-99,1019,1711,4852,1277
Nov-99,1088,1832,5896,2096
Dec-99,1996,3227,9863,3711
Jan-00,1505,1591,4698,893
Feb-00,1090,1681,4527,1002
Mar-00,1031,2065,5122,1106
Apr-00,975,1991,4937,1136
May-00,1104,2187,5239,1072
Jun-00,1122,2319,5345,1098
Jul-00,1048,2237,5174,1124
Aug-00,1594,2257,5892,1132
Sep-00,1406,2007,5533,1175
Oct-00,1014,1725,4934,1285
Nov-00,1098,1939,6126,2161
Dec-00,1892,3309,10065,3763
01-Jan,1585,1739,4971,880
01-Feb,1070,1704,4486,971
01-Mar,1062,2111,5208,1176
01-Apr,934,2071,4843,1063
01-May,1070,2185,5145,1038
01-Jun,1077,2352,5323,1107
01-Jul,1005,2199,5076,1094
01-Aug,1820,2382,6162,1065
01-Sep,1406,1984,5332,1050
01-Oct,1015,1882,5154,1303
01-Nov,1098,2151,6697,2445
01-Dec,1956,3398,10186,3628
02-Jan,1971,1739,5394,896
02-Feb,1000,1763,4483,966
02-Mar,1008,2167,5214,1186
02-Apr,966,2157,4958,1014
02-May,1116,2141,5215,1078
02-Jun,1045,2276,5194,1065
02-Jul,1038,2177,5150,1103
02-Aug,1797,2384,6184,1087
02-Sep,1490,1998,5419,1048
02-Oct,997,1897,5173,1347
02-Nov,1059,2133,6697,2468
02-Dec,1950,3387,10131,3651
03-Jan,2056,1761,5516,910
03-Feb,991,1747,4377,940
03-Mar,925,2121,4964,1111
03-Apr,975,2135,4995,1139
03-May,1107,2182,5231,1088
03-Jun,1181,2325,5323,1064
03-Jul,1128,2293,5291,1094
03-Aug,2139,2548,6714,1087
03-Sep,1572,2075,5627,1095
03-Oct,1045,1970,5216,1286
03-Nov,1036,2200,6504,2223
03-Dec,2064,3643,10601,3545
04-Jan,2146,1901,5856,962
04-Feb,1108,1888,4874,1045
04-Mar,1073,2287,5406,1125
04-Apr,1023,2221,5169,1082
04-May,1113,2305,5297,974
04-Jun,1207,2514,5602,1024
04-Jul,1172,2530,5677,1086
04-Aug,2120,2621,6706,1016
04-Sep,1561,2216,5757,1051
04-Oct,1069,2103,5418,1311
04-Nov,1089,2306,6637,2187
04-Dec,2200,3748,10768,3451
05-Jan,2076,1956,5839,950
05-Feb,1086,1976,4902,980
05-Mar,1101,2408,5560,1173
05-Apr,997,2539,5490,1098
05-May,1120,2493,5534,1061
05-Jun,1154,2655,5669,1049
05-Jul,1214,2652,5777,1077
05-Aug,2218,2788,6989,1028
05-Sep,1554,2338,5841,1019
05-Oct,1064,2246,5548,1229
05-Nov,1151,2492,6803,2120
